id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance
222,FFTW_EXECUTE_DFT_R2C,6,0.5533080808080819,2.504818181818183,1.994,2.949,0.24561293470397902,2.526679292929293,2.04,2.963,34136800,316.492,32.38385893523228
230,VDFDIFH,6,0.5199242424242431,2.353116161616162,2.0540000000000003,2.595,0.0817547529925635,3.550477272727276,3.23,3.823,7938480,314.81,20.84778420038535
234,radiation_mcica_sw:solver_mcica_sw,6,0.5359848484848497,2.424363636363638,1.9280000000000002,2.8489999999999998,0.19424425206205856,4.523739898989897,3.4419999999999997,5.358,121770,321.572,32.32713232713231
242,LAPINEB,6,0.4548232323232319,2.05895202020202,1.758,2.4290000000000003,0.15319158261226445,26.971535353535355,25.32,29.509,3969240,339.786,27.624536846438875
251,>OMP-GPNORM1              (1427),6,0.48446969696969666,2.1930959595959583,2.131,2.285,0.028642287650633837,2.193820707070705,2.131,2.286,349272,319.259,6.739606126914676
256,PROPAGS2,6,0.4842171717171707,2.1924671717171713,2.072,2.492,0.10800757794830437,2.192734848484849,2.072,2.492,38016,318.02099999999996,16.85393258426966
262,CALLPAR,6,0.4633838383838378,2.0970176767676776,1.98,2.2769999999999997,0.05296745779698142,163.50646464646456,150.542,171.83599999999998,3969240,322.971,13.043478260869554
264,>MPL-SLCOMM2A_COMMS PART1 ( 502),1,0.3945454545454544,1.7843939393939392,0.122,4.159,1.0664366817914679,1.7844848484848481,0.122,4.159,6402,438.075,97.0666025486896
265,GPINISLB,6,0.5004040404040405,2.263633838383838,1.919,2.59,0.14207706864354774,2.269997474747476,1.9240000000000002,2.597,3969240,322.647,25.907335907335906
275,VEXCS_MOD:VEXCS,6,0.44934343434343427,2.033449494949496,1.357,2.334,0.20979653790327396,2.0758459595959575,1.399,2.377,71446320,345.785,41.85946872322194
282,radiation_aerosol_optics:add_aerosol_optics,6,0.4350757575757573,1.9689090909090898,1.8230000000000002,2.186,0.06202842809413833,1.972818181818183,1.8259999999999998,2.19,121770,335.879,16.605672461116182
285,radiation_ifs_rrtm:gas_optics,6,0.4269444444444436,1.9320227272727273,1.735,2.161,0.07649844534623718,6.310444444444447,5.691,6.9670000000000005,121770,337.14,19.713095788986575
288,CUININ,6,0.4049494949494949,1.8316616161616153,1.611,2.097,0.10299328547077688,1.8360303030303045,1.6159999999999999,2.101,3969240,347.214,23.17596566523605
289,GWDRAG_WMS,6,0.4207828282828269,1.9043939393939369,1.84,2.52,0.04838397436997395,1.9061287878787874,1.841,2.523,1023000,334.394,26.984126984126984
290,>MPL-IOSTREAM READ_RECORD ( 650),1,0.46893939393939393,2.122651515151514,0.1,2.448,0.31638571845742786,2.3257727272727275,2.025,2.622,655,439.148,95.91503267973856
303,STATE_INCREMENT,6,0.40654040404040415,1.840974747474747,1.739,2.031,0.05051696663159414,1.8748030303030314,1.7730000000000001,2.0669999999999997,43661640,341.42900000000003,14.377154111275233
305,SNONLIN,6,0.4058585858585859,1.8364040404040407,1.7530000000000001,1.919,0.02732798229919655,1.8374343434343443,1.754,1.92,915486,339.01099999999997,8.650338718082331
316,CUDTDQN,6,0.3807575757575759,1.7225808080808063,1.2919999999999998,2.184,0.13520992037364202,2.0188282828282818,1.571,2.513,3969240,349.584,40.842490842490854
318,VDFDIFM,6,0.38984848484848406,1.7631186868686877,1.676,1.929,0.040905863580095084,1.7722323232323225,1.685,1.9380000000000002,7938480,343.145,13.11560393986522
321,CUCALLN,6,0.38295454545454455,1.733707070707072,1.601,1.905,0.04881802998016566,40.519095959595944,33.341,45.247,3969240,347.214,15.958005249343834
325,CPQTUV,6,0.4172979797979799,1.8881338383838384,1.5019999999999998,2.173,0.15653019206938998,1.892679292929294,1.506,2.178,3969240,347.256,30.878969167050172
330,EXEC_FFTW,6,0.4109343434343426,1.859482323232323,1.483,2.3409999999999997,0.17452965274342577,10.37911111111111,9.033999999999999,11.267999999999999,966400,346.884,36.65100384451088
348,VDFINCR,6,0.3554797979797982,1.6083787878787887,1.4580000000000002,1.882,0.07075597540304215,1.617270202020203,1.4669999999999999,1.891,7938480,348.789,22.529224229543026
